NGC104 |  47 Tuc                             
NGC4038 |  Antennae                           
NGC4039 |  Antennae                           
NGC6822 |  Barnard's galaxy                   
NGC7088 |  Baxendell's unphotographable nebula
NGC2537 |  Bear Paw galaxy                    
NGC2632 |  Beehive cluster                    
NGC4826 |  Black-eye galaxy                   
NGC6826 |  Blinking planetary                 
NGC7662 |  Blue Snowball                      
NGC3918 |  Blue planetary                     
NGC3031 |  Bode's nebulae                     
NGC3034 |  Cigar galaxy                     
NGC4169 |  Box                                
NGC4173 |  Box                                
NGC4174 |  Box                                
NGC4175 |  Box                                
NGC6309 |  Box nebula                         
NGC7635 |  Bubble nebula                      
NGC6302 |  Bug nebula                         
NGC6405 |  Butterfly cluster                  
IC2220 |  Butterfly nebula                   
NGC1499 |  California nebula                  
NGC2264 |  Christmas Tree cluster             
IC5146 |  Cocoon nebula                      
NGC2264 |  Cone nebula                        
NGC3745 |  Copeland's Septet                 
NGC3746 |  Copeland's Septet                 
NGC3748 |  Copeland's Septet                 
NGC3750 |  Copeland's Septet                 
NGC3751 |  Copeland's Septet                 
NGC3753 |  Copeland's Septet                 
NGC3754 |  Copeland's Septet                 
NGC1952 |  Crab nebula                        
NGC6888 |  Crescent nebula                    
NGC869 |  Double cluster                     
NGC884 |  Double cluster                     
NGC6853 |  Dumbbell nebula                    
NGC6611 |  Eagle nebula                       
NGC3132 |  Eight-burst planetary              
NGC2392 |  Eskimo nebula                      
NGC4435 |  The Eyes                           
NGC4438 |  The Eyes                           
NGC6960 |  Filamentary nebula                 
IC405 |  Flaming Star nebula                
NGC3242 |  Ghost of Jupiter                   
NGC6205 |  Great Cluster in Hercules          
NGC224 |  Great Nebula in Andromeda          
NGC1976 |  Great Nebula in Orion              
NGC2685 |  Helix galaxy                       
NGC7293 |  Helix nebula                       
NGC1555 |  Hind's variable nebula             
IC434 |  Horsehead nebula                   
NGC6523 |  Hourglass nebula                   
NGC2261 |  Hubble's variable neb              
NGC4755 |  Jewel Box                          
NGC6960 |  Lace-work nebula                   
NGC6523 |  Lagoon nebula                      
NGC650 |  Little Dumbbell A                   
NGC651 |  Little Dumbbell B                  
NGC6445 |  Little Gem                         
NGC1432 |  Maia nebula                        
NGC1435 |  Merope nebula                      
NGC4676 |  The Mice                           
NGC6992 |  Network nebula                     
NGC6995 |  Network nebula                     
NGC7000 |  North America nebula               
NGC6618 |  Omega nebula                       
NGC3587 |  Owl nebula                         
IC708 |  Papillon                           
IC5067 |  Pelican nebula                     
IC5070 |  Pelican nebula  
NGC5457 |  Pinwheel nebula                                     
NGC2573 |  Polarissima Australis              
NGC3172 |  Polarissima Borealis               
NGC2632 |  Praesepe                           
NGC6720 |  Ring nebula in Lyra                
NGC2237 |  Rosette nebula                     
NGC2238 |  Rosette nebula                     
NGC2239 |  Rosette nebula                     
NGC2246 |  Rosette nebula                     
NGC7009 |  Saturn nebula                      
NGC253 |  Sculptor galaxy                    
NGC4567 |  Siamese Twins                      
NGC4568 |  Siamese Twins                      
NGC4594 |  Sombrero galaxy                    
IC2602 |  Southern Pleiades                  
NGC3115 |  Spindle galaxy                     
IC4703 |  Star Queen nebula                  
NGC7317 |  Stephan's Quintet                  
NGC7318 |  Stephan's Quintet                  
NGC7319 |  Stephan's Quintet                  
NGC7320 |  Stephan's Quintet                  
NGC1554 |  Struve's Lost nebula               
NGC5055 |  Sunflower galaxy                   
NGC2070 |  Tarantula nebula                   
IC2220 |  Toby Jug nebula                    
NGC598 |  Triangulum galaxy                  
NGC6514 |  Trifid nebula                      
NGC6960 |  Veil nebula                        
NGC6992 |  Veil nebula                        
NGC6995 |  Veil nebula                        
NGC5194 |  Whirlpool galaxy                   
NGC5195 |  Whirlpool galaxy                   
NGC6705 |  Wild Duck cluster                  
IC2118 |  Witch Head nebula                  
NGC3372 |  eta Car nebula                     
IC59 |  gamma Cas nebula                   
IC63 |  gamma Cas nebula                   
IC1318 |  gamma Cyg nebula                   
NGC4755 |  kappa Cru cluster                  
IC2944 |  lambda Cen nebula                  
IC2948 |  lambda Cen nebula                  
NGC5139 |  omega Cen                          
IC4604 |  rho Oph nebula
M45 | Pleiades
        
